ID,Human_Rater,UPLIFT_Foot_Contact,Human_Foot_Contact,FC_Difference,UPLIFT_Ball_Contact,Human_Ball_Contact,BC_Difference,UPLIFT_Swing_Through,Human_Swing_Through,ST_Difference
HIT_001,Shun,543,551.0,8.0,576,584.0,8.0,585,583.0,-2.0
HIT_002,Shun,92,97.0,5.0,123,124.0,1.0,121,123.0,2.0
HIT_003,Shun,299,303.0,4.0,322,327.0,5.0,324,328.0,4.0
HIT_004,Shun,510,511.0,1.0,538,539.0,1.0,534,538.0,4.0
HIT_005,Shun,410,409.0,-1.0,442,448.0,6.0,447,448.0,1.0
HIT_006,Shun,573,582.0,9.0,608,609.0,1.0,610,609.0,-1.0
HIT_008,Shun,399,399.0,0.0,427,428.0,1.0,427,427.0,0.0
HIT_010,Shun,251,247.0,-4.0,255,276.0,21.0,276,277.0,1.0
HIT_011,Shun,289,289.0,0.0,312,314.0,2.0,312,313.0,1.0
HIT_012,Shun,360,360.0,0.0,382,391.0,9.0,387,390.0,3.0
HIT_013,Shun,684,678.0,-6.0,714,718.0,4.0,717,717.0,0.0
HIT_014,Shun,393,391.0,-2.0,425,428.0,3.0,427,427.0,0.0
HIT_015,Shun,821,830.0,9.0,844,852.0,8.0,851,851.0,0.0
HIT_016,Shun,377,380.0,3.0,405,409.0,4.0,409,407.0,-2.0
HIT_017,Shun,567,578.0,11.0,602,610.0,8.0,613,610.0,-3.0
HIT_018,Shun,537,552.0,15.0,569,577.0,8.0,582,577.0,-5.0
HIT_019,Shun,411,413.0,2.0,437,442.0,5.0,438,440.0,2.0
HIT_020,Shun,422,424.0,2.0,446,451.0,5.0,448,450.0,2.0
HIT_021,Shun,561,560.0,-1.0,588,592.0,4.0,590,589.0,-1.0
HIT_022,Shun,679,678.0,-1.0,706,710.0,4.0,707,709.0,2.0
HIT_023,Shun,903,920.0,17.0,948,953.0,5.0,988,950.0,-38.0
HIT_024,Shun,589,595.0,6.0,624,625.0,1.0,623,624.0,1.0
HIT_025,Shun,432,437.0,5.0,455,464.0,9.0,464,465.0,1.0
HIT_026,Shun,499,506.0,7.0,526,534.0,8.0,499,535.0,36.0
HIT_027,Shun,1173,1182.0,9.0,1200,1204.0,4.0,1173,1206.0,33.0
HIT_028,Shun,397,394.0,-3.0,412,429.0,17.0,434,429.0,-5.0
HIT_029,Shun,444,493.0,49.0,520,528.0,8.0,527,529.0,2.0
HIT_030,Shun,350,386.0,36.0,401,409.0,8.0,409,410.0,1.0
HIT_031,Shun,589,592.0,3.0,610,619.0,9.0,620,620.0,0.0
HIT_032,Shun,980,977.0,-3.0,1009,1015.0,6.0,1013,1017.0,4.0
HIT_033,Shun,568,580.0,12.0,598,601.0,3.0,603,604.0,1.0
HIT_034,Shun,489,502.0,13.0,521,526.0,5.0,528,528.0,0.0
HIT_035,Shun,403,409.0,6.0,424,430.0,6.0,430,430.0,0.0
HIT_036,Shun,415,413.0,-2.0,447,447.0,0.0,445,448.0,3.0
HIT_037,Shun,477,477.0,0.0,510,512.0,2.0,507,510.0,3.0
HIT_038,Shun,715,713.0,-2.0,736,738.0,2.0,736,738.0,2.0
