ID,Shun_Foot_Contact,Shun_Ball_Contact,Shun_Swing_Through,Ricky_Foot_Contact,Ricky_Ball_Contact,Ricky_Swing_Through
HIT_132,503,545,544,507,545,546
HIT_133,335,376,375,343,376,377
HIT_134,485,521,520,497,521,522
HIT_135,237,274,275,245,275,276
HIT_136,422,450,454,420,451,454
HIT_137,882,913,912,883,913,914
HIT_138,1046,1081,1080,1045,1081,1081
HIT_139,602,642,641,606,643,642
HIT_140,518,555,553,519,554,554
HIT_141,403,436,436,403,438,438
HIT_142,348,381,381,347,381,382
HIT_143,470,502,499,462,502,501
HIT_144,97,133,132,90,134,134
HIT_145,298,339,337,306,338,338
HIT_146,357,385,383,360,385,384
HIT_147,427,453,451,439,453,454
HIT_148,133,167,166,128,167,166
HIT_149,232,266,263,236,266,264
HIT_150,427,458,456,425,458,457
HIT_151,487,521,521,482,521,522
HIT_152,535,559,559,525,559,559
HIT_153,486,512,512,478,512,512
