ID,Human_Rater,UPLIFT_Foot_Contact,Human_Foot_Contact,FC_Difference,UPLIFT_Release,Human_Release,Release_Difference
PITCH_001,Shun,612,607.0,-5.0,637,639.0,2.0
PITCH_002,Shun,421,416.0,-5.0,448,452.0,4.0
PITCH_003,Shun,998,995.0,-3.0,1024,1026.0,2.0
PITCH_004,Shun,627,617.0,-10.0,647,649.0,2.0
PITCH_005,Shun,963,960.0,-3.0,983,988.0,5.0
PITCH_006,Shun,748,773.0,25.0,799,806.0,7.0
PITCH_007,Shun,1011,1019.0,8.0,1049,1055.0,6.0
PITCH_008,Shun,736,722.0,-14.0,759,760.0,1.0
PITCH_010,Shun,527,533.0,6.0,570,568.0,-2.0
PITCH_011,Shun,381,385.0,4.0,426,425.0,-1.0
PITCH_012,Shun,369,372.0,3.0,412,410.0,-2.0
PITCH_013,Shun,1384,1389.0,5.0,1413,1415.0,2.0
PITCH_014,Shun,867,871.0,4.0,894,896.0,2.0
PITCH_015,Shun,585,575.0,-10.0,611,614.0,3.0
PITCH_016,Shun,622,617.0,-5.0,647,649.0,2.0
PITCH_017,Shun,609,598.0,-11.0,634,636.0,2.0
PITCH_018,Shun,991,981.0,-10.0,1017,1019.0,2.0
PITCH_019,Shun,253,255.0,2.0,286,290.0,4.0
PITCH_020,Shun,429,427.0,-2.0,458,462.0,4.0
PITCH_021,Shun,465,464.0,-1.0,494,498.0,4.0
PITCH_022,Shun,291,276.0,-15.0,305,309.0,4.0
PITCH_023,Shun,459,443.0,-16.0,469,476.0,7.0
PITCH_024,Shun,536,515.0,-21.0,544,550.0,6.0
PITCH_025,Shun,568,572.0,4.0,605,607.0,2.0
PITCH_026,Shun,459,466.0,7.0,482,504.0,22.0
PITCH_027,Shun,407,412.0,5.0,445,448.0,3.0
PITCH_028,Both,410,401.5,-8.5,431,433.0,2.0
PITCH_029,Both,589,586.5,-2.5,617,619.0,2.0
PITCH_030,Both,458,458.5,0.5,490,491.5,1.5
PITCH_031,Both,932,928.5,-3.5,955,956.0,1.0
PITCH_032,Both,924,915.0,-9.0,945,949.0,4.0
PITCH_033,Ricky,837,831.0,-6.0,857,862.0,5.0
PITCH_034,Ricky,332,337.0,5.0,367,368.0,1.0
PITCH_035,Ricky,584,587.0,3.0,616,618.0,2.0
PITCH_036,Ricky,485,484.0,-1.0,514,516.0,2.0
PITCH_037,Ricky,1034,1035.0,1.0,1066,1066.0,0.0
PITCH_038,Ricky,899,892.0,-7.0,925,925.0,0.0
PITCH_039,Ricky,1139,1137.0,-2.0,1169,1170.0,1.0
PITCH_040,Ricky,456,465.0,9.0,495,496.0,1.0
PITCH_041,Ricky,298,314.0,16.0,318,346.0,28.0
PITCH_042,Ricky,261,277.0,16.0,307,310.0,3.0
PITCH_043,Ricky,363,362.0,-1.0,392,396.0,4.0
PITCH_044,Ricky,324,323.0,-1.0,355,358.0,3.0
PITCH_045,Shun,803,810.0,7.0,837,838.0,1.0
PITCH_046,Shun,1124,1130.0,6.0,1160,1161.0,1.0
PITCH_047,Shun,990,994.0,4.0,1027,1028.0,1.0
PITCH_048,Shun,999,1005.0,6.0,1036,1037.0,1.0
PITCH_049,Shun,1340,1348.0,8.0,1375,1382.0,7.0
PITCH_050,Shun,656,668.0,12.0,689,699.0,10.0
PITCH_051,Shun,513,523.0,10.0,551,560.0,9.0
PITCH_052,Shun,347,348.0,1.0,378,382.0,4.0
PITCH_053,Shun,517,513.0,-4.0,547,550.0,3.0
PITCH_054,Shun,424,422.0,-2.0,454,457.0,3.0
PITCH_055,Shun,426,426.0,0.0,459,462.0,3.0
PITCH_056,Shun,583,580.0,-3.0,614,617.0,3.0
PITCH_057,Shun,560,564.0,4.0,595,599.0,4.0
PITCH_058,Shun,642,639.0,-3.0,675,677.0,2.0
PITCH_059,Shun,728,723.0,-5.0,760,761.0,1.0
PITCH_060,Shun,485,480.0,-5.0,515,519.0,4.0
PITCH_061,Shun,422,415.0,-7.0,450,454.0,4.0
PITCH_062,Shun,586,588.0,2.0,615,617.0,2.0
PITCH_063,Shun,498,517.0,19.0,551,554.0,3.0
PITCH_064,Shun,482,481.0,-1.0,512,514.0,2.0
PITCH_065,Shun,438,440.0,2.0,474,476.0,2.0
PITCH_066,Shun,397,414.0,17.0,420,444.0,24.0
PITCH_067,Shun,222,224.0,2.0,243,267.0,24.0
PITCH_068,Shun,809,816.0,7.0,832,853.0,21.0
PITCH_069,Shun,424,434.0,10.0,445,468.0,23.0
PITCH_070,Shun,546,553.0,7.0,566,587.0,21.0
PITCH_073,Shun,559,562.0,3.0,582,583.0,1.0
PITCH_074,Shun,548,544.0,-4.0,573,573.0,0.0
PITCH_075,Shun,398,393.0,-5.0,421,422.0,1.0
PITCH_076,Shun,590,600.0,10.0,632,630.0,-2.0
PITCH_077,Shun,398,420.0,22.0,444,443.0,-1.0
PITCH_078,Shun,581,590.0,9.0,619,618.0,-1.0
